id,level,block,trial,levelCounts,targetKey,targetLevel,pressedLevel,pressedRaw,isSuccessful,startTime,endTime,time
15,0,0,0,4,Semicolon,full,full,255,True,1773181056839,1773181058766,1927
15,0,0,1,4,D,light,mediumHigh,216,False,1773181059077,1773181061969,2892
15,0,0,2,4,A,light,mediumLow,168,False,1773181061977,1773181064640,2663
15,0,0,3,4,D,full,full,255,True,1773181064956,1773181067141,2185
15,0,0,4,4,Semicolon,mediumHigh,mediumHigh,241,True,1773181067150,1773181069660,2510
15,0,0,5,4,K,full,full,255,True,1773181069980,1773181071636,1656
15,0,0,6,4,D,mediumLow,mediumLow,140,True,1773181071644,1773181074934,3290
15,0,0,7,4,F,light,light,79,True,1773181075249,1773181076813,1564
15,0,0,8,4,S,mediumLow,mediumHigh,234,False,1773181076822,1773181079149,2327
15,0,0,9,4,F,full,full,255,True,1773181079465,1773181081073,1608
15,0,0,10,4,S,full,full,255,True,1773181081080,1773181082496,1416
15,0,0,11,4,K,light,mediumLow,146,False,1773181082819,1773181084890,2071
15,0,0,12,4,J,full,full,255,True,1773181084897,1773181086122,1225
15,0,0,13,4,J,mediumHigh,mediumLow,127,False,1773181086432,1773181088661,2229
15,0,0,14,4,Semicolon,mediumLow,mediumLow,105,True,1773181088670,1773181091355,2685
15,0,0,15,4,A,mediumLow,mediumLow,162,True,1773181091666,1773181093490,1824
15,0,0,16,4,Semicolon,light,light,37,True,1773181093497,1773181095219,1722
15,0,0,17,4,K,mediumHigh,mediumHigh,226,True,1773181095539,1773181098107,2568
15,0,0,18,4,L,mediumHigh,full,255,False,1773181098114,1773181099957,1843
15,0,0,19,4,D,mediumHigh,full,255,False,1773181100283,1773181102615,2332
15,0,0,20,4,L,full,full,255,True,1773181102623,1773181104558,1935
15,0,0,21,4,A,full,full,255,True,1773181104870,1773181106121,1251
15,0,0,22,4,A,mediumHigh,mediumHigh,203,True,1773181106128,1773181108165,2037
15,0,0,23,4,K,mediumLow,light,87,False,1773181108478,1773181110360,1882
15,0,0,24,4,S,mediumHigh,mediumLow,176,False,1773181110369,1773181113663,3294
15,0,0,25,4,L,mediumLow,light,73,False,1773181113982,1773181117047,3065
15,0,0,26,4,S,light,mediumLow,101,False,1773181117055,1773181119151,2096
15,0,0,27,4,J,mediumLow,mediumLow,131,True,1773181119470,1773181121893,2423
