ID,Mental_Demand,Physical_Demand,Temporal_Demand,Performance,Effort,Frustration,Learnability,Light_easiness,Full_easiness,A_easiness,S_easiness,D_easiness,F_easiness,J_easiness,K_easiness,L_easiness,Semicolon_easiness
15,2,2,3,7,3,1,7,7,7,3,4,6,7,7,6,4,3
24,5,5,5,5,5,4,5,6,7,5,5,6,6,6,6,5,5
21,2,2,3,6,2,2,6,6,7,4,4,6,7,7,6,5,4
23,3,4,3,4,3,3,5,4,7,4,4,6,7,7,6,4,4
19,2,2,3,3,3,4,4,4,6,6,6,5,6,7,5,5,7
18,3,4,2,5,5,2,6,4,7,4,3,4,6,7,4,5,6
17,1,1,2,6,2,1,6,4,7,5,5,7,7,7,7,5,5
16,2,3,3,7,3,1,7,4,7,4,4,4,7,7,4,4,4
14,2,3,3,6,2,2,6,6,7,7,7,6,7,7,7,5,5
13,3,1,3,3,5,1,3,4,6,2,3,3,3,4,4,4,6
12,5,2,5,3,5,6,7,3,7,2,2,5,5,5,5,2,2
20,2,2,1,6,2,1,7,5,7,7,6,5,7,7,5,6,7
11,2,1,3,5,4,2,5,5,7,6,6,6,7,7,6,6,6
10,3,3,3,5,4,3,5,5,7,5,5,4,5,5,3,3,4
9,2,2,2,6,2,2,6,6,7,3,3,6,7,7,6,4,3
8,3,2,1,7,2,1,7,6,7,4,5,7,7,7,7,6,5
7,2,1,2,5,1,1,6,5,7,4,4,3,7,7,3,6,6
6,5,3,1,5,5,5,6,3,7,1,1,3,4,7,6,3,2
4,2,2,2,6,2,2,7,7,7,6,6,6,6,6,6,6,6
3,1,1,1,6,1,1,7,6,7,7,5,5,7,7,6,4,3
5,2,3,3,6,3,2,6,6,7,6,5,6,7,7,6,5,6
1,4,1,4,6,5,5,4,5,7,6,6,7,7,7,7,5,5
2,3,3,3,5,4,3,6,6,7,7,7,7,7,5,5,5,7
40,2,3,2,7,2,1,7,6,7,5,7,7,7,7,7,7,7
