ID,Mental_Demand,Physical_Demand,Temporal_Demand,Performance,Effort,Frustration,Learnability,Light_easiness,Medium_easiness,Full_easiness,A_easiness,S_easiness,D_easiness,F_easiness,J_easiness,K_easiness,L_easiness,Semicolon_easiness
15,5,5,4,6,5,2,6,6,5,7,2,3,4,6,6,5,3,2
24,6,6,5,5,6,6,4,4,4,7,3,3,5,6,6,5,3,3
21,2,3,3,5,3,2,6,6,4,7,4,4,6,7,7,6,5,5
23,4,5,3,3,5,4,3,1,3,7,4,5,7,7,7,7,5,4
19,3,3,4,5,4,3,4,6,5,7,7,6,5,7,7,5,6,7
18,4,5,2,3,5,3,3,4,3,7,3,2,2,5,7,4,4,5
17,3,1,3,4,3,1,5,2,6,7,4,5,7,7,7,7,5,4
16,5,3,5,3,4,3,5,1,3,7,2,3,3,7,7,3,3,2
14,3,3,3,5,5,2,5,6,4,7,3,5,6,6,6,5,3,3
13,2,2,2,3,5,1,3,3,2,6,2,3,3,3,4,5,5,6
12,6,2,5,5,7,6,6,6,3,7,5,2,2,6,6,3,3,3
20,3,3,2,4,4,1,5,4,5,7,6,6,5,7,7,5,6,6
11,2,1,3,2,3,4,5,2,3,7,6,6,6,7,7,6,6,6
10,4,5,3,3,5,5,3,4,2,7,5,5,3,5,5,4,2,2
9,3,5,3,4,4,3,5,4,4,7,2,3,5,6,6,5,4,2
8,5,5,2,4,5,2,5,2,5,7,2,3,4,6,6,5,5,3
7,2,2,3,5,3,2,5,5,4,7,4,4,5,7,7,5,6,7
6,5,3,2,3,5,5,4,3,2,7,1,2,3,5,7,5,3,2
4,3,4,4,2,5,6,3,1,5,7,6,5,5,5,6,4,2,3
3,3,1,3,5,3,2,7,2,6,7,6,5,5,7,7,4,3,2
5,5,5,3,3,5,5,3,3,2,7,3,2,4,5,6,6,4,4
1,4,3,4,5,4,3,3,5,3,7,5,5,7,7,7,7,5,5
2,4,4,3,4,5,3,5,4,3,7,7,7,7,7,5,5,5,7
40,4,5,2,5,3,1,6,2,4,7,1,3,4,5,5,4,3,2
