ID,Mental_Demand,Physical_Demand,Temporal_Demand,Performance,Effort,Frustration,Learnability,Light_easiness,MediumLow_easiness,MediumHigh_easiness,Full_easiness,A_easiness,S_easiness,D_easiness,F_easiness,J_easiness,K_easiness,L_easiness,Semicolon_easiness
15,5,6,6,3,6,3,5,6,3,2,7,1,2,3,3,4,3,3,2
24,7,7,6,2,7,7,3,5,3,2,7,2,2,4,5,5,4,2,2
21,3,5,3,3,5,6,3,6,4,2,7,3,2,5,7,7,6,3,3
23,5,5,4,3,5,3,2,1,4,2,7,4,4,5,7,7,5,4,4
19,3,5,5,3,5,4,2,6,5,3,7,7,7,6,7,7,6,6,6
18,6,6,3,2,6,5,2,4,3,2,7,2,2,2,3,6,5,4,5
17,3,1,3,4,4,1,3,7,4,3,7,4,5,7,7,7,7,5,4
16,3,3,5,4,5,2,3,3,1,2,7,1,2,3,7,7,3,2,1
14,6,2,4,2,6,3,2,6,2,2,7,4,4,5,6,6,5,3,2
13,3,2,3,3,5,1,3,2,2,2,6,2,2,3,3,4,4,4,5
12,7,1,3,3,7,6,3,6,5,2,7,3,3,5,6,6,5,3,3
20,5,2,3,3,5,1,5,2,4,5,7,3,3,2,6,6,2,3,3
11,5,2,3,4,5,2,3,4,3,3,7,4,5,5,6,6,5,5,4
10,5,3,4,5,5,5,3,5,2,1,7,4,4,5,6,6,4,3,2
9,5,5,4,2,6,5,3,6,4,2,7,2,2,4,6,6,4,1,1
8,6,6,2,5,5,2,5,6,3,4,7,2,4,6,6,7,6,5,3
7,4,2,4,4,3,2,5,7,2,5,7,3,3,5,7,7,5,4,7
6,5,6,3,2,5,6,3,5,2,2,7,6,4,3,4,4,3,3,5
4,3,5,4,3,5,5,6,4,2,3,6,6,6,5,6,6,5,3,2
3,5,1,5,3,5,3,6,5,2,2,7,6,3,3,7,7,5,2,1
5,6,5,3,3,6,5,2,5,3,2,7,4,3,4,5,6,5,5,5
1,6,5,4,4,5,6,3,6,2,2,7,5,5,7,7,7,7,4,4
2,7,6,3,2,6,7,4,3,4,4,7,7,7,7,7,3,3,3,6
40,6,7,2,5,6,1,5,5,4,2,7,2,4,3,3,2,2,4,6
